Email,AnnualIncome,HomeOwner
YBI306@ybifoundation.ybif,"? 60,000.00",Yes
YBI307@ybifoundation.ybif,"? 60,000.00",No
YBI308@ybifoundation.ybif,"? 60,000.00",Yes
YBI309@ybifoundation.ybif,"? 60,000.00",Yes
YBI310@ybifoundation.ybif,"? 70,000.00",No
YBI311@ybifoundation.ybif,"? 80,000.00",Yes
YBI312@ybifoundation.ybif,"? 70,000.00",Yes
YBI313@ybifoundation.ybif,"? 70,000.00",No
YBI314@ybifoundation.ybif,"? 70,000.00",No
YBI315@ybifoundation.ybif,"? 70,000.00",No
YBI316@ybifoundation.ybif,"? 90,000.00",Yes
YBI317@ybifoundation.ybif,"? 70,000.00",No
YBI318@ybifoundation.ybif,"? 70,000.00",No
YBI319@ybifoundation.ybif,"? 60,000.00",Yes
YBI320@ybifoundation.ybif,"? 60,000.00",Yes
YBI321@ybifoundation.ybif,"? 60,000.00",Yes
YBI322@ybifoundation.ybif,"? 70,000.00",Yes
YBI323@ybifoundation.ybif,"? 70,000.00",Yes
YBI324@ybifoundation.ybif,"? 70,000.00",Yes
YBI325@ybifoundation.ybif,"? 70,000.00",Yes
YBI326@ybifoundation.ybif,"? 70,000.00",Yes
YBI327@ybifoundation.ybif,"? 80,000.00",No
YBI328@ybifoundation.ybif,"? 30,000.00",No
YBI329@ybifoundation.ybif,"? 70,000.00",Yes
YBI330@ybifoundation.ybif,"? 70,000.00",Yes
YBI331@ybifoundation.ybif,"? 70,000.00",Yes
YBI332@ybifoundation.ybif,"? 80,000.00",Yes
YBI333@ybifoundation.ybif,"? 70,000.00",Yes
YBI334@ybifoundation.ybif,"? 10,000.00",No
YBI335@ybifoundation.ybif,"? 40,000.00",Yes
YBI336@ybifoundation.ybif,"? 40,000.00",Yes
YBI337@ybifoundation.ybif,"? 40,000.00",Yes
YBI338@ybifoundation.ybif,"? 30,000.00",Yes
YBI339@ybifoundation.ybif,"? 30,000.00",No
YBI340@ybifoundation.ybif,"? 30,000.00",No
YBI341@ybifoundation.ybif,"? 30,000.00",No
YBI342@ybifoundation.ybif,"? 10,000.00",Yes
YBI343@ybifoundation.ybif,"? 30,000.00",No
YBI344@ybifoundation.ybif,"? 40,000.00",No
YBI345@ybifoundation.ybif,"? 40,000.00",Yes
YBI346@ybifoundation.ybif,"? 40,000.00",No
YBI347@ybifoundation.ybif,"? 30,000.00",No
YBI348@ybifoundation.ybif,"? 30,000.00",No
YBI349@ybifoundation.ybif,"? 40,000.00",No
YBI350@ybifoundation.ybif,"? 40,000.00",No
YBI351@ybifoundation.ybif,"? 40,000.00",Yes
YBI352@ybifoundation.ybif,"? 40,000.00",No
YBI353@ybifoundation.ybif,"? 40,000.00",No
YBI354@ybifoundation.ybif,"? 40,000.00",Yes
YBI355@ybifoundation.ybif,"? 60,000.00",Yes
YBI356@ybifoundation.ybif,"? 40,000.00",Yes
YBI357@ybifoundation.ybif,"? 40,000.00",Yes
YBI358@ybifoundation.ybif,"? 40,000.00",Yes
YBI359@ybifoundation.ybif,"? 60,000.00",No
YBI360@ybifoundation.ybif,"? 40,000.00",Yes
YBI361@ybifoundation.ybif,"? 40,000.00",Yes
YBI362@ybifoundation.ybif,"? 40,000.00",Yes
YBI363@ybifoundation.ybif,"? 40,000.00",No
YBI364@ybifoundation.ybif,"? 40,000.00",No
YBI365@ybifoundation.ybif,"? 40,000.00",Yes
YBI366@ybifoundation.ybif,"? 40,000.00",Yes
YBI367@ybifoundation.ybif,"? 40,000.00",No
YBI368@ybifoundation.ybif,"? 40,000.00",No
YBI369@ybifoundation.ybif,"? 40,000.00",No
YBI370@ybifoundation.ybif,"? 40,000.00",Yes
YBI371@ybifoundation.ybif,"? 40,000.00",Yes
YBI372@ybifoundation.ybif,"? 40,000.00",No
YBI373@ybifoundation.ybif,"? 60,000.00",No
YBI374@ybifoundation.ybif,"? 70,000.00",No
YBI375@ybifoundation.ybif,"? 80,000.00",No
YBI376@ybifoundation.ybif,"? 80,000.00",No
YBI377@ybifoundation.ybif,"? 90,000.00",Yes
YBI378@ybifoundation.ybif,"? 90,000.00",Yes
YBI379@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI380@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI381@ybifoundation.ybif,"? 1,10,000.00",No
YBI382@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI383@ybifoundation.ybif,"? 70,000.00",Yes
YBI384@ybifoundation.ybif,"? 90,000.00",Yes
YBI385@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI386@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI387@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI388@ybifoundation.ybif,"? 1,60,000.00",Yes
YBI389@ybifoundation.ybif,"? 1,70,000.00",Yes
YBI390@ybifoundation.ybif,"? 70,000.00",Yes
YBI391@ybifoundation.ybif,"? 70,000.00",Yes
YBI392@ybifoundation.ybif,"? 70,000.00",Yes
YBI393@ybifoundation.ybif,"? 70,000.00",Yes
YBI394@ybifoundation.ybif,"? 70,000.00",Yes
YBI395@ybifoundation.ybif,"? 60,000.00",Yes
YBI396@ybifoundation.ybif,"? 60,000.00",No
YBI397@ybifoundation.ybif,"? 70,000.00",Yes
YBI398@ybifoundation.ybif,"? 70,000.00",Yes
YBI399@ybifoundation.ybif,"? 60,000.00",Yes
YBI400@ybifoundation.ybif,"? 60,000.00",Yes
YBI401@ybifoundation.ybif,"? 60,000.00",Yes
YBI402@ybifoundation.ybif,"? 60,000.00",Yes
YBI403@ybifoundation.ybif,"? 60,000.00",Yes
YBI404@ybifoundation.ybif,"? 70,000.00",No
YBI405@ybifoundation.ybif,"? 70,000.00",Yes
YBI406@ybifoundation.ybif,"? 70,000.00",Yes
YBI407@ybifoundation.ybif,"? 70,000.00",Yes
YBI408@ybifoundation.ybif,"? 70,000.00",Yes
YBI409@ybifoundation.ybif,"? 80,000.00",No
YBI410@ybifoundation.ybif,"? 40,000.00",Yes
YBI411@ybifoundation.ybif,"? 40,000.00",Yes
YBI412@ybifoundation.ybif,"? 60,000.00",Yes
YBI413@ybifoundation.ybif,"? 60,000.00",Yes
YBI414@ybifoundation.ybif,"? 60,000.00",Yes
YBI415@ybifoundation.ybif,"? 60,000.00",Yes
YBI416@ybifoundation.ybif,"? 70,000.00",Yes
YBI417@ybifoundation.ybif,"? 40,000.00",Yes
YBI418@ybifoundation.ybif,"? 40,000.00",Yes
YBI419@ybifoundation.ybif,"? 60,000.00",Yes
YBI420@ybifoundation.ybif,"? 60,000.00",Yes
YBI421@ybifoundation.ybif,"? 40,000.00",Yes
YBI422@ybifoundation.ybif,"? 60,000.00",Yes
YBI423@ybifoundation.ybif,"? 60,000.00",Yes
YBI424@ybifoundation.ybif,"? 60,000.00",No
YBI425@ybifoundation.ybif,"? 60,000.00",Yes
YBI426@ybifoundation.ybif,"? 60,000.00",Yes
YBI427@ybifoundation.ybif,"? 70,000.00",Yes
YBI428@ybifoundation.ybif,"? 80,000.00",Yes
YBI429@ybifoundation.ybif,"? 70,000.00",Yes
YBI430@ybifoundation.ybif,"? 70,000.00",Yes
YBI431@ybifoundation.ybif,"? 60,000.00",Yes
YBI432@ybifoundation.ybif,"? 60,000.00",Yes
YBI433@ybifoundation.ybif,"? 60,000.00",Yes
YBI434@ybifoundation.ybif,"? 70,000.00",Yes
YBI435@ybifoundation.ybif,"? 70,000.00",No
YBI436@ybifoundation.ybif,"? 60,000.00",Yes
YBI437@ybifoundation.ybif,"? 60,000.00",No
YBI438@ybifoundation.ybif,"? 70,000.00",Yes
YBI439@ybifoundation.ybif,"? 70,000.00",Yes
YBI440@ybifoundation.ybif,"? 70,000.00",Yes
YBI441@ybifoundation.ybif,"? 70,000.00",Yes
YBI442@ybifoundation.ybif,"? 1,30,000.00",No
YBI443@ybifoundation.ybif,"? 1,30,000.00",No
YBI444@ybifoundation.ybif,"? 1,30,000.00",No
YBI445@ybifoundation.ybif,"? 1,60,000.00",Yes
YBI446@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI447@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI448@ybifoundation.ybif,"? 1,50,000.00",Yes
YBI449@ybifoundation.ybif,"? 1,70,000.00",No
YBI450@ybifoundation.ybif,"? 1,20,000.00",No
YBI451@ybifoundation.ybif,"? 1,30,000.00",No
YBI452@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI453@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI454@ybifoundation.ybif,"? 1,70,000.00",Yes
YBI455@ybifoundation.ybif,"? 30,000.00",No
YBI456@ybifoundation.ybif,"? 90,000.00",Yes
YBI457@ybifoundation.ybif,"? 60,000.00",Yes
YBI458@ybifoundation.ybif,"? 70,000.00",Yes
YBI459@ybifoundation.ybif,"? 70,000.00",Yes
YBI460@ybifoundation.ybif,"? 70,000.00",Yes
YBI461@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI462@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI463@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI464@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI465@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI466@ybifoundation.ybif,"? 80,000.00",Yes
YBI467@ybifoundation.ybif,"? 90,000.00",Yes
YBI468@ybifoundation.ybif,"? 90,000.00",No
YBI469@ybifoundation.ybif,"? 90,000.00",Yes
YBI470@ybifoundation.ybif,"? 90,000.00",No
YBI471@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI472@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI473@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI474@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI475@ybifoundation.ybif,"? 1,50,000.00",No
YBI476@ybifoundation.ybif,"? 70,000.00",Yes
YBI477@ybifoundation.ybif,"? 90,000.00",Yes
YBI478@ybifoundation.ybif,"? 50,000.00",Yes
YBI479@ybifoundation.ybif,"? 80,000.00",Yes
YBI480@ybifoundation.ybif,"? 80,000.00",Yes
YBI481@ybifoundation.ybif,"? 80,000.00",Yes
YBI482@ybifoundation.ybif,"? 90,000.00",No
YBI483@ybifoundation.ybif,"? 90,000.00",Yes
YBI484@ybifoundation.ybif,"? 90,000.00",Yes
YBI485@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI486@ybifoundation.ybif,"? 90,000.00",Yes
YBI487@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI488@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI489@ybifoundation.ybif,"? 1,20,000.00",No
YBI490@ybifoundation.ybif,"? 1,70,000.00",Yes
YBI491@ybifoundation.ybif,"? 70,000.00",No
YBI492@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI493@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI494@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI495@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI496@ybifoundation.ybif,"? 1,50,000.00",No
YBI497@ybifoundation.ybif,"? 60,000.00",No
YBI498@ybifoundation.ybif,"? 60,000.00",No
YBI499@ybifoundation.ybif,"? 80,000.00",Yes
YBI500@ybifoundation.ybif,"? 50,000.00",Yes
YBI501@ybifoundation.ybif,"? 70,000.00",Yes
YBI502@ybifoundation.ybif,"? 70,000.00",Yes
YBI503@ybifoundation.ybif,"? 70,000.00",Yes
YBI504@ybifoundation.ybif,"? 80,000.00",No
YBI505@ybifoundation.ybif,"? 80,000.00",Yes
YBI506@ybifoundation.ybif,"? 90,000.00",No
YBI507@ybifoundation.ybif,"? 90,000.00",No
YBI508@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI509@ybifoundation.ybif,"? 1,10,000.00",No
YBI510@ybifoundation.ybif,"? 1,10,000.00",No
YBI511@ybifoundation.ybif,"? 80,000.00",Yes
YBI512@ybifoundation.ybif,"? 60,000.00",No
YBI513@ybifoundation.ybif,"? 60,000.00",Yes
YBI514@ybifoundation.ybif,"? 70,000.00",Yes
YBI515@ybifoundation.ybif,"? 70,000.00",No
YBI516@ybifoundation.ybif,"? 70,000.00",Yes
YBI517@ybifoundation.ybif,"? 70,000.00",Yes
YBI518@ybifoundation.ybif,"? 70,000.00",No
YBI519@ybifoundation.ybif,"? 60,000.00",Yes
YBI520@ybifoundation.ybif,"? 40,000.00",No
YBI521@ybifoundation.ybif,"? 40,000.00",No
YBI522@ybifoundation.ybif,"? 70,000.00",No
YBI523@ybifoundation.ybif,"? 80,000.00",Yes
YBI524@ybifoundation.ybif,"? 90,000.00",Yes
YBI525@ybifoundation.ybif,"? 90,000.00",Yes
YBI526@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI527@ybifoundation.ybif,"? 90,000.00",Yes
YBI528@ybifoundation.ybif,"? 90,000.00",Yes
YBI529@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI530@ybifoundation.ybif,"? 90,000.00",Yes
YBI531@ybifoundation.ybif,"? 90,000.00",Yes
YBI532@ybifoundation.ybif,"? 90,000.00",Yes
YBI533@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI534@ybifoundation.ybif,"? 90,000.00",Yes
YBI535@ybifoundation.ybif,"? 10,000.00",Yes
YBI536@ybifoundation.ybif,"? 20,000.00",Yes
YBI537@ybifoundation.ybif,"? 10,000.00",Yes
YBI538@ybifoundation.ybif,"? 10,000.00",Yes
YBI539@ybifoundation.ybif,"? 20,000.00",Yes
YBI540@ybifoundation.ybif,"? 10,000.00",Yes
YBI541@ybifoundation.ybif,"? 20,000.00",Yes
YBI542@ybifoundation.ybif,"? 20,000.00",Yes
YBI543@ybifoundation.ybif,"? 10,000.00",Yes
YBI544@ybifoundation.ybif,"? 20,000.00",Yes
YBI545@ybifoundation.ybif,"? 30,000.00",Yes
YBI546@ybifoundation.ybif,"? 10,000.00",Yes
YBI547@ybifoundation.ybif,"? 10,000.00",Yes
YBI548@ybifoundation.ybif,"? 10,000.00",Yes
YBI549@ybifoundation.ybif,"? 10,000.00",Yes
YBI550@ybifoundation.ybif,"? 10,000.00",Yes
YBI551@ybifoundation.ybif,"? 10,000.00",Yes
YBI552@ybifoundation.ybif,"? 10,000.00",Yes
YBI553@ybifoundation.ybif,"? 30,000.00",Yes
YBI554@ybifoundation.ybif,"? 20,000.00",Yes
YBI555@ybifoundation.ybif,"? 10,000.00",Yes
YBI556@ybifoundation.ybif,"? 30,000.00",Yes
YBI557@ybifoundation.ybif,"? 20,000.00",Yes
YBI558@ybifoundation.ybif,"? 40,000.00",Yes
YBI559@ybifoundation.ybif,"? 10,000.00",No
YBI560@ybifoundation.ybif,"? 10,000.00",No
YBI561@ybifoundation.ybif,"? 10,000.00",No
YBI562@ybifoundation.ybif,"? 10,000.00",No
YBI563@ybifoundation.ybif,"? 10,000.00",Yes
YBI564@ybifoundation.ybif,"? 10,000.00",Yes
YBI565@ybifoundation.ybif,"? 10,000.00",No
YBI566@ybifoundation.ybif,"? 10,000.00",No
YBI567@ybifoundation.ybif,"? 10,000.00",No
YBI568@ybifoundation.ybif,"? 20,000.00",Yes
YBI569@ybifoundation.ybif,"? 20,000.00",Yes
YBI570@ybifoundation.ybif,"? 10,000.00",No
YBI571@ybifoundation.ybif,"? 20,000.00",No
YBI572@ybifoundation.ybif,"? 20,000.00",Yes
YBI573@ybifoundation.ybif,"? 20,000.00",Yes
YBI574@ybifoundation.ybif,"? 20,000.00",Yes
YBI575@ybifoundation.ybif,"? 30,000.00",Yes
YBI576@ybifoundation.ybif,"? 30,000.00",Yes
YBI577@ybifoundation.ybif,"? 30,000.00",Yes
YBI578@ybifoundation.ybif,"? 40,000.00",Yes
YBI579@ybifoundation.ybif,"? 30,000.00",Yes
YBI580@ybifoundation.ybif,"? 10,000.00",No
YBI581@ybifoundation.ybif,"? 10,000.00",Yes
YBI582@ybifoundation.ybif,"? 20,000.00",Yes
YBI583@ybifoundation.ybif,"? 20,000.00",Yes
YBI584@ybifoundation.ybif,"? 20,000.00",Yes
YBI585@ybifoundation.ybif,"? 30,000.00",Yes
YBI586@ybifoundation.ybif,"? 30,000.00",Yes
YBI587@ybifoundation.ybif,"? 40,000.00",Yes
YBI588@ybifoundation.ybif,"? 40,000.00",Yes
YBI589@ybifoundation.ybif,"? 10,000.00",No
YBI590@ybifoundation.ybif,"? 10,000.00",No
YBI591@ybifoundation.ybif,"? 10,000.00",Yes
YBI592@ybifoundation.ybif,"? 10,000.00",Yes
YBI593@ybifoundation.ybif,"? 10,000.00",Yes
YBI594@ybifoundation.ybif,"? 10,000.00",Yes
YBI595@ybifoundation.ybif,"? 30,000.00",Yes
YBI596@ybifoundation.ybif,"? 10,000.00",No
YBI597@ybifoundation.ybif,"? 20,000.00",No
YBI598@ybifoundation.ybif,"? 30,000.00",Yes
YBI599@ybifoundation.ybif,"? 30,000.00",Yes
YBI600@ybifoundation.ybif,"? 40,000.00",Yes
YBI601@ybifoundation.ybif,"? 40,000.00",Yes
YBI602@ybifoundation.ybif,"? 40,000.00",Yes
YBI603@ybifoundation.ybif,"? 40,000.00",Yes
YBI604@ybifoundation.ybif,"? 10,000.00",No
YBI605@ybifoundation.ybif,"? 10,000.00",No
YBI606@ybifoundation.ybif,"? 20,000.00",Yes
YBI607@ybifoundation.ybif,"? 20,000.00",Yes
YBI608@ybifoundation.ybif,"? 10,000.00",No
YBI609@ybifoundation.ybif,"? 10,000.00",Yes
YBI610@ybifoundation.ybif,"? 20,000.00",Yes
YBI611@ybifoundation.ybif,"? 80,000.00",No
YBI612@ybifoundation.ybif,"? 80,000.00",Yes
YBI613@ybifoundation.ybif,"? 80,000.00",No
YBI614@ybifoundation.ybif,"? 80,000.00",Yes
YBI615@ybifoundation.ybif,"? 90,000.00",No
YBI616@ybifoundation.ybif,"? 60,000.00",Yes
YBI617@ybifoundation.ybif,"? 70,000.00",Yes
YBI618@ybifoundation.ybif,"? 90,000.00",No
YBI619@ybifoundation.ybif,"? 1,50,000.00",Yes
YBI620@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI621@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI622@ybifoundation.ybif,"? 1,70,000.00",Yes
YBI623@ybifoundation.ybif,"? 80,000.00",No
YBI624@ybifoundation.ybif,"? 80,000.00",Yes
YBI625@ybifoundation.ybif,"? 90,000.00",Yes
YBI626@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI627@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI628@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI629@ybifoundation.ybif,"? 80,000.00",Yes
YBI630@ybifoundation.ybif,"? 90,000.00",Yes
YBI631@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI632@ybifoundation.ybif,"? 80,000.00",Yes
YBI633@ybifoundation.ybif,"? 80,000.00",No
YBI634@ybifoundation.ybif,"? 1,70,000.00",Yes
YBI635@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI636@ybifoundation.ybif,"? 1,60,000.00",No
YBI637@ybifoundation.ybif,"? 90,000.00",Yes
YBI638@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI639@ybifoundation.ybif,"? 90,000.00",No
YBI640@ybifoundation.ybif,"? 80,000.00",No
YBI641@ybifoundation.ybif,"? 90,000.00",No
YBI642@ybifoundation.ybif,"? 90,000.00",Yes
YBI643@ybifoundation.ybif,"? 60,000.00",No
YBI644@ybifoundation.ybif,"? 70,000.00",Yes
YBI645@ybifoundation.ybif,"? 70,000.00",No
YBI646@ybifoundation.ybif,"? 70,000.00",No
YBI647@ybifoundation.ybif,"? 70,000.00",Yes
YBI648@ybifoundation.ybif,"? 80,000.00",Yes
YBI649@ybifoundation.ybif,"? 80,000.00",Yes
YBI650@ybifoundation.ybif,"? 1,30,000.00",Yes
YBI651@ybifoundation.ybif,"? 70,000.00",No
YBI652@ybifoundation.ybif,"? 80,000.00",No
YBI653@ybifoundation.ybif,"? 80,000.00",No
YBI654@ybifoundation.ybif,"? 80,000.00",No
YBI655@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI656@ybifoundation.ybif,"? 1,20,000.00",Yes
YBI657@ybifoundation.ybif,"? 90,000.00",Yes
YBI658@ybifoundation.ybif,"? 1,00,000.00",Yes
YBI659@ybifoundation.ybif,"? 80,000.00",No
YBI660@ybifoundation.ybif,"? 90,000.00",No
YBI661@ybifoundation.ybif,"? 90,000.00",No
YBI662@ybifoundation.ybif,"? 1,10,000.00",Yes
YBI663@ybifoundation.ybif,"? 1,10,000.00",No
YBI664@ybifoundation.ybif,"? 90,000.00",Yes
YBI665@ybifoundation.ybif,"? 90,000.00",No
YBI666@ybifoundation.ybif,"? 1,50,000.00",Yes
YBI667@ybifoundation.ybif,"? 1,70,000.00",Yes
YBI668@ybifoundation.ybif,"? 40,000.00",Yes
YBI669@ybifoundation.ybif,"? 10,000.00",No
YBI670@ybifoundation.ybif,"? 20,000.00",No
YBI671@ybifoundation.ybif,"? 30,000.00",Yes
YBI672@ybifoundation.ybif,"? 60,000.00",Yes
YBI673@ybifoundation.ybif,"? 20,000.00",No
YBI674@ybifoundation.ybif,"? 20,000.00",Yes
YBI675@ybifoundation.ybif,"? 30,000.00",No
YBI676@ybifoundation.ybif,"? 40,000.00",Yes
YBI677@ybifoundation.ybif,"? 30,000.00",No
YBI678@ybifoundation.ybif,"? 30,000.00",No
YBI679@ybifoundation.ybif,"? 40,000.00",Yes
YBI680@ybifoundation.ybif,"? 40,000.00",Yes
YBI681@ybifoundation.ybif,"? 40,000.00",Yes
YBI682@ybifoundation.ybif,"? 30,000.00",No
YBI683@ybifoundation.ybif,"? 40,000.00",Yes
YBI684@ybifoundation.ybif,"? 40,000.00",Yes
YBI685@ybifoundation.ybif,"? 40,000.00",No
YBI686@ybifoundation.ybif,"? 10,000.00",Yes
YBI687@ybifoundation.ybif,"? 10,000.00",No
YBI688@ybifoundation.ybif,"? 20,000.00",Yes
YBI689@ybifoundation.ybif,"? 20,000.00",No
YBI690@ybifoundation.ybif,"? 20,000.00",No
YBI691@ybifoundation.ybif,"? 20,000.00",No
YBI692@ybifoundation.ybif,"? 30,000.00",No
YBI693@ybifoundation.ybif,"? 40,000.00",Yes
YBI694@ybifoundation.ybif,"? 40,000.00",Yes
YBI695@ybifoundation.ybif,"? 40,000.00",Yes
YBI696@ybifoundation.ybif,"? 40,000.00",Yes
