OrderID,Date,Category,SubCategory,Customer,State,Region,Payment,Sales,Qty,Profit
28,07-04-2024,Fashion,Kids,Ojas Jaggi,Delhi,North,COD,518.28,2,94.97
29,20-12-2024,Fashion,Women,Viraj Nair,Delhi,West,UPI,30815.45,5,726.15
30,30-09-2024,Home,Decor,Vaishnavi Munshi,Delhi,South,Card,17614.22,1,4021.01
31,06-12-2024,Fashion,Women,Dominic Bahl,Maharashtra,West,Card,19458.96,2,2342.47
32,12-12-2023,Electronics,Mobiles,Aachal Narula,Maharashtra,West,COD,35256.96,1,4833.39
33,02-11-2024,Electronics,Laptops,Advay Kohli,Maharashtra,West,UPI,8435.49,4,-247.2
34,07-02-2024,Fashion,Men,Ekalinga Banerjee,Maharashtra,East,UPI,25894.67,1,2559.38
35,19-12-2023,Home,Kitchen,Nakul Virk,Tamil Nadu,South,Card,46776.84,1,13804.13
36,04-03-2025,Grocery,Staples,Warda Nanda,Gujarat,East,COD,2091.61,5,322.53
37,05-07-2024,Fashion,Women,Damyanti Pal,Karnataka,South,COD,47499.68,1,4203.44
38,30-04-2024,Fashion,Men,Charvi Menon,UP,East,COD,44585.27,4,-6069.31
39,05-02-2024,Home,Decor,Harsh Sunder,Maharashtra,East,COD,9792.7,3,-1947.99
40,31-12-2024,Fashion,Men,Bahadurjit Varma,Delhi,West,UPI,17710.75,2,-2896.73
41,18-09-2025,Fashion,Kids,Riya Palla,UP,West,COD,43409.3,4,11237.75
42,17-11-2024,Electronics,Laptops,Chasmum Bal,Delhi,South,Card,17341.21,3,502.25
43,25-08-2024,Home,Kitchen,Hemani Choudhary,UP,East,Card,18351.38,2,3370.15
44,29-06-2024,Home,Decor,Niharika Prabhakar,Tamil Nadu,North,Card,33921.62,5,-6272.15
45,09-08-2024,Grocery,Staples,Christopher Bobal,UP,North,Card,23785.39,5,-721.07
46,05-04-2024,Fashion,Women,Atharv Narayanan,UP,West,COD,12980.6,1,-1834.26
47,01-04-2025,Grocery,Staples,Ishanvi Mody,Maharashtra,East,COD,37158.48,5,-1138.66
48,22-05-2024,Electronics,Accessories,Yagnesh Iyengar,Karnataka,West,COD,36687.48,4,1829.58
49,05-07-2025,Grocery,Staples,Ekanta Hans,Karnataka,North,UPI,14076.62,3,-1260.46
50,12-10-2024,Fashion,Kids,Shivani De,UP,South,COD,47853.19,3,2124.45
51,10-01-2024,Fashion,Men,Warhi Chopra,Karnataka,East,UPI,20342.89,1,635.08
52,13-09-2025,Electronics,Accessories,Akshay Sachdeva,Karnataka,West,COD,16948.18,4,612.51
53,25-07-2024,Home,Decor,Forum Seth,UP,North,COD,48331.32,4,5554.34
54,26-12-2023,Fashion,Men,Baghyawati Saxena,Delhi,East,UPI,41183.71,1,-2079.7
55,09-04-2025,Electronics,Mobiles,Theodore Khalsa,Maharashtra,South,COD,24698.97,5,1176.16
56,28-01-2024,Home,Kitchen,Zaitra Seshadri,Maharashtra,South,COD,31141.68,2,7199.44
57,18-12-2024,Electronics,Mobiles,Alexander Kothari,Karnataka,East,COD,49067.08,3,506.27
58,23-05-2025,Home,Decor,Lohit Natt,Delhi,West,Card,48143.86,3,-2354.79
59,29-11-2024,Home,Kitchen,Reyansh Gour,Gujarat,North,UPI,14939.65,2,4054.96
60,11-04-2024,Fashion,Women,Bhavika Manne,Delhi,North,UPI,10714.31,3,-21.97
61,12-10-2023,Grocery,Snacks,Hardik Biswas,Maharashtra,North,UPI,29502.14,3,4976.5
62,11-04-2025,Electronics,Accessories,Matthew Rastogi,Maharashtra,West,COD,23172.84,2,505.31
63,08-11-2024,Home,Furniture,Manya Narula,Karnataka,North,Card,37199.76,4,-2398.23
64,13-03-2024,Home,Kitchen,Warinder Pradhan,Karnataka,East,COD,36225.37,5,7322.76
65,13-03-2025,Home,Kitchen,Falak Sachar,Maharashtra,West,Card,3731.99,4,125.23
66,25-06-2024,Grocery,Snacks,Vasudha Apte,Gujarat,West,UPI,1819.96,5,-273.93
67,25-04-2025,Grocery,Snacks,Benjamin Mohan,Gujarat,North,COD,44244.06,2,-4661.87
68,05-02-2024,Electronics,Laptops,Hardik Bhakta,Tamil Nadu,West,UPI,23865.26,4,6225.44
69,20-04-2024,Home,Furniture,Quincy Sankaran,Karnataka,North,UPI,40864.7,5,-6762.03
70,06-04-2025,Grocery,Staples,Elijah Prabhakar,Tamil Nadu,North,UPI,32119.96,2,-1796.57
71,13-09-2025,Grocery,Staples,Jai Sawhney,UP,South,COD,20270.26,5,5499.61
72,09-09-2024,Home,Decor,Raagini Srinivasan,Delhi,East,UPI,24750.04,4,-1757.14
73,12-02-2024,Grocery,Snacks,Sudiksha Balasubramanian,Gujarat,North,UPI,36675.63,2,-2094.11
74,31-03-2024,Fashion,Kids,Harish Madan,UP,South,COD,47799.06,2,-2292.63
75,13-02-2024,Home,Decor,Upma Banik,UP,West,COD,32274.65,3,8440.7
76,01-12-2024,Fashion,Men,Radhika Bhatia,Tamil Nadu,East,COD,28648.19,5,-4293.57
77,10-12-2023,Home,Decor,Yutika Sundaram,UP,West,Card,30546.08,3,-5510.12
78,08-03-2025,Grocery,Snacks,Maanas Wali,Tamil Nadu,South,Card,9466.46,4,-1868.44
79,24-04-2025,Electronics,Mobiles,Ishita Bhatia,UP,North,UPI,42060.42,1,10177.11
80,18-11-2023,Electronics,Accessories,Hamsini Thaker,Karnataka,East,COD,37191.51,4,-2369.89
81,02-02-2024,Fashion,Men,Aradhana Ram,UP,South,Card,11740.32,1,-383.56
82,08-10-2024,Home,Furniture,Caleb Lala,Gujarat,East,COD,38302.88,1,6999.25
83,31-07-2025,Electronics,Laptops,Siddharth Srivastava,Maharashtra,West,Card,37122.89,4,6780.27
84,21-10-2023,Grocery,Staples,Ayushman Roy,Karnataka,South,Card,19199.79,3,4387.9
85,29-10-2023,Fashion,Kids,Dalbir Tiwari,Karnataka,East,UPI,13285.02,2,470.06
86,30-05-2025,Grocery,Snacks,Tara Bajwa,Gujarat,North,Card,47959,3,-905.84
87,15-02-2024,Electronics,Laptops,Wishi Sehgal,Tamil Nadu,West,Card,9937.53,5,1944.51
88,27-07-2025,Home,Decor,Chatura Ramesh,Tamil Nadu,North,Card,12657.68,4,-2098.37
89,17-10-2023,Home,Kitchen,Warinder Soni,UP,West,Card,24558.51,2,5309.83
90,19-01-2024,Grocery,Beverages,Upkaar Zachariah,Karnataka,West,UPI,48141.1,4,5973.98
91,28-02-2025,Home,Decor,Saksham Sekhon,Gujarat,East,COD,18487,4,-1995.92
92,04-02-2024,Fashion,Men,Pranit Bansal,Delhi,West,Card,37179.53,2,4582.45
93,09-06-2024,Grocery,Snacks,Netra Pau,Maharashtra,South,Card,46506.46,1,-2271.41
94,18-08-2025,Electronics,Mobiles,Anika Bahl,UP,West,UPI,3036.46,1,728.21
95,22-03-2025,Fashion,Men,Upadhriti Saran,Tamil Nadu,South,UPI,38215.9,4,6088.03
96,01-12-2023,Grocery,Beverages,Shivansh Shukla,UP,South,COD,38163.15,5,-4184.77
97,05-08-2024,Grocery,Beverages,Daksh Iyengar,Maharashtra,North,UPI,33928.26,2,-6662.1
98,14-03-2025,Electronics,Mobiles,Meghana Mallick,Karnataka,West,Card,39390.45,3,11617.22
99,18-03-2024,Electronics,Accessories,Jhalak Dugal,Gujarat,West,Card,26230.54,3,1899.98
100,21-04-2024,Home,Decor,Nathaniel Lad,Tamil Nadu,West,COD,11168.86,1,1266.95
101,19-05-2024,Grocery,Staples,Ethan Garg,Gujarat,North,COD,11801.1,3,-819.12
102,16-11-2023,Fashion,Men,Yashawini Minhas,UP,East,UPI,3140.52,3,-403.91
103,02-07-2025,Grocery,Snacks,Harsh Vohra,Karnataka,West,Card,18697.53,4,4896.34
104,01-12-2023,Grocery,Snacks,Udyati Bali,Maharashtra,South,UPI,23565.57,2,-2423.37
105,04-09-2024,Fashion,Women,Vedika Jani,Tamil Nadu,West,COD,4562.95,3,-904.6
106,17-01-2025,Grocery,Beverages,Chakradhar Rajan,Gujarat,South,UPI,4650.62,3,539.38
107,19-04-2024,Grocery,Staples,Warda Ratta,Tamil Nadu,East,UPI,7691.65,1,-12.87
108,26-02-2025,Electronics,Mobiles,Rajata Loke,Karnataka,East,COD,27754.27,5,6083.61
109,11-09-2025,Electronics,Mobiles,Fiyaz Bhatia,Gujarat,East,Card,43954.22,1,-7039.24
110,09-05-2025,Fashion,Men,Nidra Kapadia,UP,South,Card,28764.24,4,-5069.83
111,27-09-2024,Electronics,Accessories,Lopa Salvi,UP,West,Card,43999.86,5,11206.57
112,23-03-2024,Fashion,Women,Chatura Ghosh,UP,West,COD,32922.44,2,6695.42
113,01-09-2025,Fashion,Men,Lucky Devan,Gujarat,East,UPI,1332.19,3,307.3
114,23-08-2024,Grocery,Snacks,Dayita Golla,Gujarat,South,Card,2404.37,3,-181.56
115,07-12-2023,Electronics,Laptops,Onkar Kuruvilla,Gujarat,East,COD,43418.37,2,-362.9
116,29-12-2023,Grocery,Staples,Falguni Purohit,Karnataka,West,UPI,37180.84,2,-6667.26
117,20-02-2024,Electronics,Mobiles,Tejas Pandit,Gujarat,East,COD,14143.62,5,-457.95
118,24-02-2024,Fashion,Men,Omkaar Ray,Delhi,South,UPI,31861.84,3,-2475.83
119,05-06-2025,Grocery,Snacks,Mohammed Bakshi,UP,North,UPI,48064.55,4,-6512.69
120,21-07-2025,Fashion,Kids,Aashi Dugar,Maharashtra,West,COD,47425.17,4,4602.96
121,08-05-2024,Grocery,Staples,Eta Datta,Tamil Nadu,West,Card,41920.47,2,5035.71
122,08-07-2024,Grocery,Beverages,Divya Bava,Maharashtra,South,UPI,16550.3,1,-489.33
123,15-08-2025,Electronics,Laptops,Amol Pandit,Gujarat,North,UPI,30301.58,4,1219.71
124,07-12-2023,Home,Furniture,Nihal Verma,Karnataka,South,UPI,44052.25,2,2991
125,31-05-2024,Grocery,Beverages,Qasim Bakshi,Maharashtra,North,COD,17410.97,1,1845.36
126,12-07-2025,Electronics,Accessories,Aarnav Gokhale,Tamil Nadu,South,UPI,12024.91,2,3085.51
127,14-11-2024,Fashion,Kids,Ati Sachdev,Gujarat,North,COD,37051.25,3,1895.01
128,17-05-2024,Fashion,Kids,Vedhika Khare,UP,West,Card,33530.63,3,7099.23
129,09-06-2024,Electronics,Mobiles,Patrick Dara,Delhi,South,COD,14188.21,4,3033.27
130,17-01-2025,Electronics,Laptops,Siya Dua,Tamil Nadu,North,Card,8928.67,4,-558.29
131,10-11-2024,Electronics,Mobiles,Siddharth Bhavsar,Tamil Nadu,South,COD,12674.68,3,3208.62
132,14-08-2025,Grocery,Staples,Jyoti Edwin,Gujarat,West,Card,28493.91,1,8326.15
133,22-05-2024,Fashion,Kids,Suhani Tank,Tamil Nadu,North,UPI,21397.65,2,-3312.6
134,20-04-2025,Fashion,Women,Dev Narain,Gujarat,West,UPI,36022.04,3,530.49
135,22-08-2024,Grocery,Beverages,Anirudh Khosla,Maharashtra,East,COD,14950.8,4,537.96
136,02-05-2024,Electronics,Laptops,Keya Taneja,UP,East,COD,6904.35,2,-1091.7
137,24-10-2024,Home,Decor,Hema Virk,UP,North,COD,40661.01,2,9978.51
138,17-08-2025,Home,Kitchen,Rajata Ahluwalia,Tamil Nadu,East,Card,46823.51,4,6100.67
139,28-06-2024,Home,Decor,Zehaan Pai,UP,North,Card,25708.12,5,6739.41
140,13-11-2023,Grocery,Snacks,Varsha Dora,Gujarat,North,COD,21388.79,1,1250.44
141,10-09-2024,Home,Furniture,Yashvi Kalita,Karnataka,North,UPI,19509.66,2,2516.47
142,16-08-2024,Electronics,Laptops,Urishilla Varkey,Delhi,North,Card,14197.24,3,-2041.42
143,05-05-2024,Home,Kitchen,Unnati Mane,Karnataka,East,Card,3742.87,3,-401.86
144,16-07-2024,Home,Decor,Qabil Gala,UP,East,COD,5407.39,3,319.13
145,08-11-2023,Electronics,Accessories,Ekansh Nagi,Tamil Nadu,South,Card,3551.72,2,453.18
146,18-01-2025,Electronics,Laptops,Triveni Madan,Maharashtra,West,Card,17337.88,3,-1625.61
147,09-10-2024,Fashion,Kids,Damyanti Bakshi,Tamil Nadu,East,UPI,3681.33,4,619.52
148,12-04-2025,Electronics,Accessories,Manthan Rau,UP,East,COD,31143.8,2,4965.73
149,05-09-2025,Grocery,Snacks,Yatan Contractor,Gujarat,West,COD,37967.15,2,-7247.32
150,23-03-2024,Grocery,Staples,Yahvi Modi,UP,West,Card,39648.52,5,-2154.64
151,15-08-2024,Fashion,Men,Deepa Shanker,Karnataka,North,UPI,21825.28,5,2809.28
152,27-08-2025,Electronics,Laptops,Ayush Jayaraman,Maharashtra,East,Card,26907.58,3,-1793.12
153,15-07-2025,Electronics,Accessories,Ekiya Prabhu,Karnataka,East,COD,49326.68,1,-4654.67
154,27-10-2024,Fashion,Kids,Sanaya Kumer,Gujarat,North,COD,41452,4,3729.81
155,27-01-2025,Fashion,Women,Nihal Bawa,Tamil Nadu,East,COD,5459.55,3,-315.22
156,06-03-2025,Grocery,Staples,Bimala Cheema,UP,East,COD,37546.22,1,4186.99
157,26-09-2024,Grocery,Beverages,Falan Arya,UP,East,UPI,9144.52,3,269.47
158,17-06-2024,Home,Decor,Hemal Raghavan,UP,East,COD,38321.97,5,295.84
159,13-02-2024,Grocery,Staples,Anay Karpe,Maharashtra,East,COD,1353.1,4,-123.01
160,09-10-2024,Home,Kitchen,Jeevika Tripathi,Tamil Nadu,West,UPI,4931.16,1,1128.99
161,21-01-2025,Home,Decor,Darsh Solanki,Delhi,West,UPI,19922.45,3,-747.71
162,28-07-2024,Fashion,Men,Sai Vig,Maharashtra,West,UPI,25563.02,3,3148.97
163,08-12-2024,Grocery,Beverages,Gaurangi Ramaswamy,Tamil Nadu,West,UPI,21395.19,3,3664.15
164,16-11-2023,Home,Decor,Bhavani Deo,Delhi,North,Card,5038.1,5,-398.7
165,15-08-2025,Electronics,Mobiles,Onkar Sandhu,Tamil Nadu,North,COD,19561.95,3,1121.38
166,26-01-2024,Grocery,Beverages,Gaurangi Bava,Tamil Nadu,West,COD,38385.02,3,82.78
167,17-07-2024,Electronics,Laptops,Indali Ray,UP,North,COD,41825.23,5,-914.71
168,14-03-2025,Home,Furniture,Vedika Swaminathan,UP,West,Card,12207.21,3,895.35
169,20-05-2024,Grocery,Beverages,Triveni Ramanathan,Tamil Nadu,West,UPI,39624.54,3,10718.96
170,06-07-2024,Home,Furniture,Aarush Mannan,Delhi,West,UPI,31590.07,4,3938.29
171,20-04-2025,Grocery,Snacks,Urvi Bala,Gujarat,West,UPI,45324.71,2,3199.18
172,04-11-2023,Fashion,Kids,Tanmayi Sarna,Maharashtra,South,COD,762.8,4,37.65
173,27-02-2025,Fashion,Kids,Lekha Dada,UP,North,UPI,31580.01,2,910.86
174,26-05-2025,Electronics,Laptops,Zehaan Kohli,Tamil Nadu,South,Card,10487.63,1,2946.27
175,30-10-2023,Grocery,Staples,Farhan Chandra,Karnataka,West,COD,3528.87,4,-589.9
176,08-06-2024,Electronics,Laptops,Nikita Dutt,UP,West,COD,11719.9,2,-1195.21
177,21-09-2024,Electronics,Laptops,Gopal Parmer,Tamil Nadu,North,COD,27741.43,2,1496.86
178,13-07-2024,Grocery,Staples,Jagat Buch,Delhi,West,COD,35666.15,1,6150.34
179,10-08-2025,Grocery,Staples,Tripti Kale,Karnataka,West,COD,31070.86,3,8569
180,20-05-2025,Home,Decor,Akshay Tandon,Delhi,South,UPI,35686.45,2,8577.72
181,01-11-2024,Electronics,Accessories,Lipika Radhakrishnan,Karnataka,North,COD,24442.65,5,811.45
182,19-04-2025,Grocery,Beverages,Harrison Trivedi,Tamil Nadu,West,UPI,28196.35,1,-2670.19
183,25-03-2024,Home,Kitchen,Daniel Bajaj,Gujarat,North,UPI,13286.5,5,-381.21
184,11-06-2025,Electronics,Accessories,Lajita Vala,Maharashtra,East,UPI,7949.74,1,597.42
185,20-05-2024,Grocery,Snacks,Aayush Keer,Maharashtra,East,UPI,49864.63,3,-2969.32
186,10-01-2025,Home,Decor,Baljiwan Memon,Karnataka,South,Card,27818.06,1,7604.42
187,12-07-2024,Home,Kitchen,Banjeet Bal,Karnataka,South,UPI,2752.76,2,-42.61
188,02-04-2024,Grocery,Staples,Rachita Dyal,Maharashtra,North,COD,37659.87,3,10141.81
189,10-06-2025,Home,Furniture,Chandran Pandit,Gujarat,South,COD,21663.11,1,-2725.14
190,24-09-2024,Home,Kitchen,Nikita Tella,Maharashtra,East,COD,13038.71,2,-961.58
191,14-03-2024,Electronics,Mobiles,Vyanjana Soman,Karnataka,West,COD,2508.77,5,-203.61
192,11-11-2024,Fashion,Men,Samuel Borde,UP,West,COD,2501.49,5,-124.49
193,12-10-2023,Home,Kitchen,Priya Oak,Tamil Nadu,West,COD,33964.74,5,3473.76
194,01-01-2025,Electronics,Mobiles,Jyoti Rai,Delhi,North,UPI,15746.37,4,3952.27
195,17-10-2024,Electronics,Laptops,Rishi Bains,Maharashtra,North,Card,20484.33,2,-2678.06
196,29-11-2024,Home,Decor,Frado Goda,Tamil Nadu,East,Card,28604.49,4,5975.84
197,10-04-2024,Electronics,Mobiles,Logan Sood,Tamil Nadu,West,UPI,30364.6,4,-4042.45
198,07-01-2025,Electronics,Accessories,Priya Rama,Karnataka,East,UPI,861.79,3,112.54
199,10-04-2024,Grocery,Snacks,Vidhi Kaur,Maharashtra,North,UPI,9919.67,5,956.23
200,24-05-2025,Grocery,Staples,Eshana Biswas,Karnataka,East,UPI,10692.14,1,2675.89
201,17-08-2025,Home,Furniture,Owen Chaudhry,Delhi,West,UPI,3559.3,5,-496.41
202,27-08-2025,Fashion,Men,Tamanna Gala,Karnataka,North,UPI,3898.56,2,605.09
203,25-11-2024,Electronics,Mobiles,Xiti Raghavan,Delhi,West,Card,20979.56,1,-1291.24
204,08-02-2025,Home,Kitchen,Kai Mistry,Delhi,West,UPI,8532.38,3,-749.95
205,24-01-2025,Electronics,Accessories,Charles Pillai,Delhi,East,COD,49129.75,5,-396.05
206,25-10-2024,Fashion,Women,Hema Yadav,Maharashtra,West,UPI,9771.66,4,-1717.22
207,10-02-2024,Grocery,Beverages,Reyansh Rai,Karnataka,North,COD,11590.81,1,2202.07
208,03-07-2025,Home,Decor,Tanvi Sinha,Delhi,North,UPI,8060.99,4,-738.41
209,12-09-2024,Home,Decor,Harita Mohan,Gujarat,East,UPI,37240.38,3,-928.91
210,08-05-2024,Fashion,Women,Qabil Shukla,Karnataka,South,COD,940.96,4,66.66
211,07-02-2025,Home,Furniture,Logan Ramesh,Gujarat,West,COD,35220.92,3,-4020.16
212,05-09-2024,Grocery,Beverages,Anirudh Batta,Tamil Nadu,West,Card,34197.38,3,-3427.14
213,30-01-2024,Home,Furniture,Eiravati Panchal,UP,East,UPI,8471.69,4,387.76
214,06-05-2025,Grocery,Beverages,Saksham Kala,Maharashtra,West,UPI,14629.33,4,2115.43
215,03-12-2023,Electronics,Laptops,Aarav Mistry,Tamil Nadu,South,COD,24347.65,5,3858.4
216,06-10-2023,Electronics,Mobiles,Bahadurjit Char,UP,South,COD,6069.69,1,1414.38
217,18-06-2025,Home,Furniture,Gautami Gill,Karnataka,East,Card,11409.49,3,-1440.71
218,07-02-2025,Grocery,Staples,Januja Mandal,Maharashtra,West,COD,22830.81,2,2544.63
219,22-11-2024,Fashion,Men,Ishanvi Dada,UP,West,UPI,12113.89,3,-2325.25
220,23-07-2025,Fashion,Women,Zashil Deo,UP,East,COD,30653.46,1,-1768.31
221,06-12-2024,Fashion,Men,Mugdha Borah,Maharashtra,East,UPI,27835.72,2,5218.15
222,24-12-2024,Home,Furniture,Pranit Ratti,Karnataka,West,Card,20324.87,4,658.45
223,10-07-2024,Grocery,Beverages,Mason Lall,UP,West,Card,21644.22,5,-424.15
224,19-01-2025,Electronics,Laptops,Nihal Nadig,UP,East,COD,45343.57,1,262.18
225,01-02-2024,Grocery,Snacks,Prisha Mandal,Delhi,South,UPI,13888.6,2,583.58
226,11-05-2024,Fashion,Men,Azad Sarin,Karnataka,North,UPI,8756.99,3,1446.46
227,07-09-2025,Fashion,Women,Wakeeta Mitra,Gujarat,East,UPI,40885.04,2,5371.66
228,22-08-2025,Grocery,Beverages,Qarin Madan,UP,East,UPI,44366.94,5,-7061.67
229,20-02-2024,Electronics,Laptops,Amaira Bora,Maharashtra,East,UPI,33627.42,4,1722.81
230,31-07-2025,Electronics,Accessories,Tanish Nanda,Gujarat,East,COD,31580.63,1,6089.21
231,29-05-2024,Grocery,Snacks,Jai Ben,Gujarat,West,Card,25154.43,1,-1655.82
232,18-05-2025,Grocery,Staples,Priya Oak,Delhi,West,Card,30853.6,1,1374.87
233,28-12-2023,Grocery,Beverages,Rehaan Choudhury,Gujarat,South,Card,32854.01,1,-3310.28
234,11-05-2024,Electronics,Mobiles,Ucchal Malhotra,UP,South,UPI,19995.44,1,1987.82
235,09-02-2024,Fashion,Kids,Avni Mall,Delhi,North,COD,30008.18,3,-599.67
236,04-07-2025,Fashion,Women,Ranveer Upadhyay,Maharashtra,East,UPI,3737.88,4,212.39
237,23-09-2023,Fashion,Kids,Chameli Bail,UP,South,COD,21794.37,3,-4062.32
238,16-03-2025,Electronics,Mobiles,Lakshmi Dave,Tamil Nadu,East,Card,19105.96,3,-1193.34
239,11-11-2023,Grocery,Snacks,Peter Yadav,Delhi,North,UPI,36682.66,4,9989.59
240,19-09-2024,Electronics,Mobiles,Brijesh Wali,UP,West,COD,33751.3,3,-6611.15
241,28-01-2024,Fashion,Men,Ira Memon,UP,East,Card,27338.14,1,-1635.58
242,03-09-2024,Grocery,Snacks,Garima Batra,Gujarat,South,Card,46918.65,4,-966.63
243,03-02-2024,Electronics,Laptops,Vedant D’Alia,UP,South,Card,23152.94,5,-1855.62
244,20-06-2025,Grocery,Staples,Kamala Karnik,Karnataka,South,UPI,1318.84,2,353.15
245,09-08-2024,Electronics,Mobiles,Vanya Murthy,Tamil Nadu,North,COD,1908.24,5,-171.35
246,25-11-2023,Grocery,Staples,Anita Shan,Gujarat,West,Card,37251.54,3,-3079.92
247,04-04-2025,Grocery,Beverages,Vyanjana Lall,Maharashtra,North,UPI,45706.96,4,5775.69
248,24-02-2024,Home,Decor,Faraj Mangat,Karnataka,North,Card,26499.82,4,7774.91
249,25-08-2025,Home,Furniture,Ayushman Pandit,Maharashtra,West,COD,4084.15,1,-621.36
250,05-04-2025,Fashion,Kids,Chakrika Chowdhury,UP,West,Card,20699.87,5,704.89
251,08-09-2025,Electronics,Accessories,Jackson Wable,Karnataka,West,UPI,1683.39,2,-266.56
252,12-07-2024,Fashion,Men,Sanya Kulkarni,Maharashtra,North,COD,32757.58,1,986.97
253,17-01-2025,Electronics,Mobiles,Udant Nagi,UP,East,UPI,47570.15,1,1302.96
254,12-09-2025,Home,Furniture,Ekavir Saran,Delhi,North,COD,9200.11,2,2473.61
255,15-12-2024,Grocery,Snacks,Vasatika Nigam,Delhi,North,UPI,25117.07,5,5700.05
256,08-09-2024,Grocery,Staples,Chatura Om,Karnataka,North,UPI,48579.34,5,-5967.07
257,02-12-2024,Grocery,Beverages,Yashica Narasimhan,Tamil Nadu,South,COD,47815.32,3,-8499.56
258,09-12-2023,Grocery,Beverages,Bhavika Jhaveri,Delhi,North,COD,8949.62,3,2132.62
259,05-08-2024,Fashion,Women,Eta Chokshi,Delhi,West,COD,19376.74,2,5607.83
260,24-06-2025,Fashion,Women,Kamya Ravel,UP,South,COD,12700.59,3,2365.1
261,27-06-2024,Fashion,Women,Champak Gaba,Delhi,West,Card,20648.55,5,5148.76
262,03-06-2025,Home,Decor,Aarini Mani,Gujarat,East,UPI,40391.89,2,7288.75
263,11-01-2025,Electronics,Laptops,Darika Savant,Delhi,East,UPI,48774.13,5,-7878.49
264,22-09-2024,Home,Decor,Niharika Prakash,Tamil Nadu,North,COD,20140.63,1,-994.05
265,04-09-2024,Electronics,Laptops,Balvan Roy,Gujarat,South,COD,16808.19,4,-879.44
266,07-04-2024,Home,Kitchen,Nakul Pandya,Delhi,East,UPI,2219.55,1,206.15
267,05-08-2024,Home,Furniture,Anamika Wable,UP,East,UPI,40692.47,2,2983.61
268,20-09-2023,Fashion,Men,Ekalinga Lata,Tamil Nadu,East,Card,34622.13,3,5499.66
269,16-06-2025,Electronics,Accessories,Baghyawati Desai,UP,North,UPI,29642.08,2,3586.98
270,30-09-2023,Grocery,Snacks,Oni Chokshi,UP,West,Card,9645.25,5,-60.03
271,05-11-2023,Fashion,Men,Sneha Hora,Karnataka,South,Card,8033.12,4,491.92
272,20-01-2025,Fashion,Kids,Jalsa Goyal,Delhi,South,UPI,47479.84,4,7563.56
273,21-02-2025,Fashion,Women,Ekavir Sodhi,Karnataka,North,COD,38490.73,5,1062.47
274,10-02-2025,Electronics,Mobiles,Amruta Shukla,Gujarat,West,Card,49651.64,3,-881.96
275,30-10-2024,Electronics,Mobiles,Kai Dora,Gujarat,North,Card,17441.69,5,-700.78
